"Bcell"	"MCL"	"BtoMCL_logFC"	"BtoMCL_adj.P.Val"	"combo.name"
"157983"	"1"	"1"	"-0.075396915"	"6.464275e-17"	"157983"
"3631"	"1"	"1"	" 0.132865808"	"7.272401e-17"	"3631"
"7561"	"1"	"1"	" 0.132117622"	"7.885133e-17"	"7561"
"24147"	"1"	"1"	" 0.092086158"	"8.590308e-17"	"24147"
"2669"	"1"	"1"	" 0.224221830"	"9.777046e-17"	"2669"
"793"	"1"	"1"	"-0.131367428"	"9.728731e-17"	"793"
"2"	"1"	"1"	" 0.264850003"	"1.304016e-16"	"2"
"996"	"1"	"1"	"-0.079573983"	"1.369219e-16"	"996"
"2199"	"1"	"1"	" 0.217191725"	"1.304016e-16"	"2199"
"26065"	"1"	"1"	"-0.100755109"	"1.458658e-16"	"26065"
"5300"	"1"	"1"	" 0.083295436"	"1.528815e-16"	"5300"
"950"	"1"	"1"	" 0.125041729"	"1.473310e-16"	"950"
"100499177"	"1"	"1"	" 0.120980352"	"1.645801e-16"	"100499177"
"8347"	"1"	"1"	"-0.269078884"	"1.704842e-16"	"8347"
"266655"	"1"	"1"	"-0.169992322"	"1.803331e-16"	"266655"
"8745"	"1"	"1"	"-0.081850469"	"1.578492e-16"	"8745"
"4247"	"1"	"1"	"-0.082070688"	"1.808899e-16"	"4247"
"55596"	"1"	"1"	" 0.086734738"	"1.953592e-16"	"55596"
"5950"	"1"	"1"	"-0.126284430"	"1.987356e-16"	"5950"
"55605"	"1"	"1"	" 0.135323115"	"1.867133e-16"	"55605"
"64978"	"1"	"1"	" 0.115885994"	"2.580037e-16"	"64978"
"55534"	"1"	"1"	"-0.118964145"	"2.186333e-16"	"55534"
"3337"	"1"	"1"	"-0.318974647"	"2.621968e-16"	"3337"
"152831"	"1"	"1"	"-0.076939138"	"2.493185e-16"	"152831"
"64118"	"1"	"1"	" 0.084424534"	"3.280069e-16"	"64118"
"4026"	"1"	"1"	"-0.190320507"	"3.835672e-16"	"4026"
"374618"	"1"	"1"	"-0.231019706"	"4.358571e-16"	"374618"
"147463"	"1"	"1"	" 0.248104935"	"3.835672e-16"	"147463"
"57801"	"1"	"1"	" 0.112827805"	"3.835672e-16"	"57801"
"84247"	"1"	"1"	" 0.168440112"	"4.338165e-16"	"84247"
"5199"	"1"	"1"	" 0.156981957"	"4.055547e-16"	"5199"
"1728"	"1"	"1"	" 0.150290690"	"4.127711e-16"	"1728"
"10040"	"1"	"1"	" 0.191971777"	"4.310146e-16"	"10040"
"127396"	"1"	"1"	" 0.068377104"	"4.321869e-16"	"127396"
"64761"	"1"	"1"	" 0.173620620"	"5.451059e-16"	"64761"
"800"	"1"	"1"	" 0.140469597"	"5.319896e-16"	"800"
"921"	"1"	"1"	" 0.144524945"	"5.501821e-16"	"921"
"55552"	"1"	"1"	" 0.110628066"	"4.927715e-16"	"55552"
"29978"	"1"	"1"	"-0.118987618"	"6.422454e-16"	"29978"
"93643"	"1"	"1"	" 0.061672434"	"6.747024e-16"	"93643"
"1173"	"1"	"1"	" 0.153339904"	"6.971000e-16"	"1173"
"5551"	"1"	"1"	" 0.217994827"	"5.815015e-16"	"5551"
"55785"	"1"	"1"	"-0.241044593"	"7.273864e-16"	"55785"
"7091"	"1"	"1"	"-0.189883579"	"8.270565e-16"	"7091"
"50861"	"1"	"1"	" 0.152286975"	"8.266696e-16"	"50861"
"3485"	"1"	"1"	" 0.173867630"	"8.890174e-16"	"3485"
"4839"	"1"	"1"	" 0.086951123"	"1.059936e-15"	"4839"
"387496"	"1"	"1"	"-0.085754034"	"1.036899e-15"	"387496"
"2207"	"1"	"1"	" 0.206903622"	"1.089581e-15"	"2207"
"8558"	"1"	"1"	" 0.108185360"	"1.163315e-15"	"8558"
"119395"	"1"	"1"	"-0.058057716"	"1.059936e-15"	"119395"
"29920"	"1"	"2"	" 0.092675831"	"1.329048e-15"	"29920"
"255119"	"1"	"1"	"-0.066092026"	"1.059936e-15"	"255119"
"51421"	"1"	"1"	" 0.200052467"	"1.060203e-15"	"51421"
"9143"	"1"	"1"	"-0.228827596"	"1.334234e-15"	"9143"
"1488"	"1"	"1"	" 0.190387564"	"1.141672e-15"	"1488"
"8368"	"1"	"1"	"-0.113885709"	"1.296728e-15"	"8368"
"1198"	"1"	"1"	" 0.091555806"	"1.302486e-15"	"1198"
"925"	"1"	"1"	" 0.262897652"	"1.317960e-15"	"925"
"2770"	"1"	"1"	" 0.104683739"	"1.334234e-15"	"2770"
"2296"	"1"	"1"	" 0.176123114"	"1.329048e-15"	"2296"
"92737"	"1"	"1"	"-0.237534509"	"1.773642e-15"	"92737"
"254295"	"1"	"1"	" 0.171786761"	"1.510434e-15"	"254295"
"26099"	"1"	"1"	" 0.073618277"	"1.893886e-15"	"26099"
"9454"	"1"	"1"	" 0.142864328"	"1.841286e-15"	"9454"
"4921"	"1"	"1"	" 0.109803504"	"1.694560e-15"	"4921"
"124152"	"1"	"1"	" 0.074035092"	"2.238293e-15"	"124152"
"3575"	"1"	"1"	" 0.302670065"	"2.105721e-15"	"3575"
"54187"	"1"	"1"	"-0.232545602"	"2.604471e-15"	"54187"
"134553"	"1"	"1"	" 0.072280389"	"2.521795e-15"	"134553"
"7026"	"1"	"1"	" 0.144558487"	"2.635748e-15"	"7026"
"84803"	"1"	"1"	" 0.141210324"	"2.495261e-15"	"84803"
"23530"	"1"	"1"	"-0.092994217"	"3.490444e-15"	"23530"
"83451"	"1"	"1"	" 0.071583908"	"3.146608e-15"	"83451"
"8360"	"1"	"1"	"-0.116440900"	"3.146608e-15"	"8360"
"9294"	"1"	"1"	"-0.110522830"	"3.523986e-15"	"9294"
"9789"	"1"	"1"	"-0.104743428"	"3.324218e-15"	"9789"
"8351"	"1"	"1"	"-0.380345228"	"3.726143e-15"	"8351"
"84270"	"1"	"1"	" 0.100613550"	"3.603801e-15"	"84270"
"55166"	"1"	"1"	" 0.091961077"	"3.146608e-15"	"55166"
"647946"	"1"	"1"	" 0.112218777"	"3.022235e-15"	"647946"
"60681"	"1"	"1"	" 0.088031524"	"3.299249e-15"	"60681"
"3429"	"1"	"1"	" 0.288125971"	"3.145145e-15"	"3429"
"116461"	"1"	"1"	" 0.100088328"	"4.010956e-15"	"116461"
"728568"	"1"	"1"	" 0.074325965"	"4.572218e-15"	"728568"
"79862"	"1"	"1"	"-0.101283953"	"4.799944e-15"	"79862"
"79971"	"1"	"1"	" 0.138983842"	"4.138933e-15"	"79971"
"1834"	"1"	"1"	"-0.092909900"	"4.179692e-15"	"1834"
"9242"	"1"	"1"	" 0.090175858"	"4.714329e-15"	"9242"
"10857"	"1"	"1"	" 0.104549471"	"6.820510e-15"	"10857"
"9749"	"1"	"1"	" 0.148918466"	"5.843507e-15"	"9749"
"79873"	"1"	"1"	"-0.080854717"	"7.410542e-15"	"79873"
"7078"	"1"	"1"	" 0.157398830"	"7.019718e-15"	"7078"
"8342"	"1"	"1"	"-0.115430483"	"8.004452e-15"	"8342"
"50650"	"1"	"1"	" 0.178516680"	"1.008082e-14"	"50650"
"89932"	"1"	"1"	" 0.152995959"	"8.590915e-15"	"89932"
"7637"	"1"	"1"	" 0.117982384"	"1.094890e-14"	"7637"
