"Bcell"	"MCLe"	"df"	"combo.name"
"140733"	"1"	"1"	"6.698558e-10"	"140733"
"5454"	"1"	"1"	"3.137844e-06"	"5454"
"55840"	"1"	"1"	"4.242185e-04"	"55840"
"6504"	"1"	"1"	"1.275376e-15"	"6504"
"826"	"1"	"1"	"1.699038e-11"	"826"
"51646"	"1"	"1"	"7.055455e-06"	"51646"
"649"	"1"	"1"	"1.648433e-11"	"649"
"79649"	"1"	"1"	"4.600471e-05"	"79649"
"171017"	"1"	"1"	"2.751760e-06"	"171017"
"25960"	"1"	"1"	"1.672763e-01"	"25960"
"8530"	"1"	"1"	"4.466709e-01"	"8530"
"5159"	"1"	"1"	"2.237913e-01"	"5159"
"5480"	"1"	"1"	"3.387176e-01"	"5480"
"85027"	"1"	"1"	"9.517196e-02"	"85027"
"6484"	"1"	"1"	"1.324033e-04"	"6484"
"64969"	"1"	"1"	"1.226518e-03"	"64969"
"177"	"1"	"1"	"7.548426e-11"	"177"
"84262"	"1"	"1"	"1.098648e-03"	"84262"
"85013"	"1"	"1"	"3.971552e-07"	"85013"
"7360"	"1"	"1"	"4.956926e-03"	"7360"
"26301"	"1"	"1"	"1.116330e-11"	"26301"
"55917"	"1"	"1"	"2.420758e-01"	"55917"
"6397"	"1"	"1"	"2.064893e-03"	"6397"
"3267"	"1"	"1"	"2.112064e-02"	"3267"
"51149"	"1"	"1"	"1.741003e-13"	"51149"
"7738"	"1"	"1"	"3.477146e-03"	"7738"
"79962"	"1"	"1"	"3.140423e-07"	"79962"
"2178"	"1"	"1"	"5.869973e-10"	"2178"
"8343"	"1"	"1"	"7.222187e-08"	"8343"
"7941"	"1"	"1"	"4.757243e-01"	"7941"
"93650"	"1"	"1"	"1.881004e-05"	"93650"
"8613"	"1"	"1"	"1.281455e-03"	"8613"
"55314"	"1"	"1"	"4.177285e-03"	"55314"
"1731"	"1"	"1"	"6.396459e-10"	"1731"
"80279"	"1"	"1"	"3.501493e-11"	"80279"
"327657"	"1"	"1"	"1.512193e-11"	"327657"
"5795"	"1"	"1"	"5.373884e-15"	"5795"
"475"	"1"	"1"	"3.286318e-01"	"475"
"400941"	"1"	"1"	"2.577472e-12"	"400941"
"79778"	"1"	"1"	"5.349518e-03"	"79778"
"26526"	"1"	"1"	"4.132096e-05"	"26526"
"22801"	"1"	"1"	"7.638301e-02"	"22801"
"57658"	"1"	"1"	"3.143726e-16"	"57658"
"23505"	"1"	"1"	"2.813831e-04"	"23505"
"55657"	"1"	"1"	"9.719755e-05"	"55657"
"80321"	"1"	"1"	"1.992441e-04"	"80321"
"64773"	"1"	"1"	"1.687728e-10"	"64773"
"93487"	"1"	"1"	"5.407355e-03"	"93487"
"84128"	"1"	"1"	"3.887290e-06"	"84128"
"79754"	"1"	"1"	"2.999412e-15"	"79754"
"27329"	"1"	"1"	"1.076857e-04"	"27329"
"9849"	"1"	"1"	"1.849334e-04"	"9849"
"29974"	"1"	"1"	"8.064565e-04"	"29974"
"4818"	"1"	"1"	"1.540451e-01"	"4818"
"79036"	"1"	"1"	"3.152632e-13"	"79036"
"5358"	"1"	"1"	"3.380066e-01"	"5358"
"825"	"1"	"1"	"7.787975e-14"	"825"
"84140"	"1"	"1"	"2.527025e-02"	"84140"
"4046"	"1"	"1"	"1.550046e-13"	"4046"
"4086"	"1"	"1"	"4.130269e-03"	"4086"
"3627"	"1"	"1"	"3.720298e-01"	"3627"
"4013"	"1"	"1"	"3.710316e-04"	"4013"
"84973"	"1"	"1"	"4.855723e-06"	"84973"
"6404"	"1"	"1"	"1.601331e-03"	"6404"
"55105"	"1"	"1"	"9.474537e-02"	"55105"
"51701"	"1"	"1"	"4.464131e-12"	"51701"
"101929759"	"1"	"1"	"7.015131e-13"	"101929759"
"27247"	"1"	"1"	"2.606388e-01"	"27247"
"93550"	"1"	"1"	"5.937353e-08"	"93550"
"22918"	"1"	"1"	"2.531685e-01"	"22918"
"6233"	"1"	"1"	"1.209449e-06"	"6233"
"1050"	"1"	"1"	"3.688723e-03"	"1050"
"51188"	"1"	"1"	"6.418581e-07"	"51188"
"58476"	"1"	"1"	"1.858481e-06"	"58476"
"4646"	"1"	"1"	"1.844805e-03"	"4646"
"5270"	"1"	"1"	"4.107545e-01"	"5270"
"57142"	"1"	"1"	"3.399200e-10"	"57142"
"90933"	"1"	"1"	"2.690632e-05"	"90933"
"259"	"1"	"1"	"2.236672e-05"	"259"
"8527"	"1"	"1"	"4.485694e-03"	"8527"
"3552"	"1"	"1"	"5.700101e-05"	"3552"
"9138"	"1"	"1"	"8.839451e-10"	"9138"
"2517"	"1"	"1"	"2.945431e-01"	"2517"
"6934"	"1"	"1"	"2.616466e-01"	"6934"
"9016"	"1"	"1"	"9.293454e-12"	"9016"
"409"	"1"	"1"	"3.520714e-04"	"409"
"10007"	"1"	"1"	"1.298131e-03"	"10007"
"1475"	"1"	"1"	"1.268986e-01"	"1475"
"92106"	"1"	"1"	"1.403143e-03"	"92106"
"57698"	"1"	"1"	"2.393923e-02"	"57698"
"84967"	"1"	"1"	"1.606480e-04"	"84967"
"29126"	"1"	"1"	"1.715095e-02"	"29126"
"23266"	"1"	"1"	"4.599753e-02"	"23266"
"10988"	"1"	"1"	"3.672449e-07"	"10988"
"151011"	"1"	"1"	"1.555955e-07"	"151011"
"401261"	"1"	"1"	"7.467199e-08"	"401261"
"55699"	"1"	"1"	"8.733646e-03"	"55699"
"1266"	"1"	"1"	"2.361963e-10"	"1266"
"257144"	"1"	"1"	"9.282582e-14"	"257144"
"57804"	"1"	"1"	"4.558418e-07"	"57804"
"3572"	"1"	"1"	"2.391957e-04"	"3572"
"222584"	"1"	"1"	"1.060958e-01"	"222584"
"123016"	"1"	"1"	"7.881019e-06"	"123016"
"112399"	"1"	"1"	"6.036733e-14"	"112399"
"3930"	"1"	"1"	"8.956223e-06"	"3930"
"26511"	"1"	"1"	"5.379017e-11"	"26511"
"51474"	"1"	"1"	"2.764760e-05"	"51474"
"253980"	"1"	"1"	"1.160686e-06"	"253980"
"54478"	"1"	"1"	"5.260409e-03"	"54478"
"55646"	"1"	"1"	"3.561661e-01"	"55646"
"100170841"	"1"	"1"	"1.039575e-03"	"100170841"
"6905"	"1"	"1"	"3.576443e-11"	"6905"
"80760"	"1"	"1"	"4.814824e-01"	"80760"
"94120"	"1"	"1"	"6.700767e-07"	"94120"
"11316"	"1"	"1"	"8.923460e-06"	"11316"
"1622"	"1"	"1"	"6.511945e-07"	"1622"
"51001"	"1"	"1"	"4.735580e-04"	"51001"
"5216"	"1"	"1"	"4.579027e-06"	"5216"
"3606"	"1"	"1"	"3.188655e-03"	"3606"
"6815"	"1"	"1"	"1.100150e-01"	"6815"
"200734"	"1"	"1"	"2.870291e-18"	"200734"
"1534"	"1"	"1"	"9.668421e-02"	"1534"
"1161"	"1"	"1"	"3.845508e-06"	"1161"
"9736"	"1"	"1"	"2.773603e-03"	"9736"
"255520"	"1"	"1"	"2.808877e-06"	"255520"
"81846"	"1"	"1"	"8.153235e-05"	"81846"
"23231"	"1"	"1"	"1.031532e-06"	"23231"
"65062"	"1"	"1"	"1.859313e-03"	"65062"
"284129"	"1"	"1"	"1.562874e-04"	"284129"
"91752"	"1"	"1"	"4.074890e-11"	"91752"
"3604"	"1"	"1"	"2.176736e-01"	"3604"
"100507006"	"1"	"1"	"5.474245e-04"	"100507006"
"63925"	"1"	"1"	"2.967775e-04"	"63925"
"57600"	"1"	"1"	"1.281731e-01"	"57600"
"23129"	"1"	"1"	"2.168573e-03"	"23129"
"11221"	"1"	"1"	"2.744543e-17"	"11221"
"29091"	"1"	"1"	"7.482479e-14"	"29091"
"83656"	"1"	"1"	"7.496664e-07"	"83656"
"10160"	"1"	"1"	"9.420725e-06"	"10160"
"64112"	"1"	"1"	"7.119882e-05"	"64112"
"2908"	"1"	"1"	"7.585110e-05"	"2908"
"54545"	"1"	"1"	"9.830822e-06"	"54545"
"153733"	"1"	"1"	"1.528115e-05"	"153733"
"7050"	"1"	"1"	"9.927989e-11"	"7050"
"84557"	"1"	"1"	"4.632163e-01"	"84557"
"8346"	"1"	"1"	"2.170739e-10"	"8346"
"10787"	"1"	"1"	"4.168840e-01"	"10787"
"4670"	"1"	"1"	"3.665055e-02"	"4670"
"117178"	"1"	"1"	"9.401201e-02"	"117178"
"10314"	"1"	"1"	"1.232784e-04"	"10314"
"166"	"1"	"1"	"4.157163e-15"	"166"
"11338"	"1"	"1"	"8.380070e-10"	"11338"
"283635"	"1"	"1"	"4.757972e-06"	"283635"
"23506"	"1"	"1"	"4.485813e-04"	"23506"
"145173"	"1"	"1"	"7.672771e-07"	"145173"
"5636"	"1"	"1"	"1.626133e-04"	"5636"
"3775"	"1"	"1"	"2.005335e-03"	"3775"
"1977"	"1"	"1"	"1.020476e-11"	"1977"
"1646"	"1"	"1"	"4.100176e-01"	"1646"
"54502"	"1"	"1"	"1.784059e-10"	"54502"
"2923"	"1"	"1"	"2.935587e-03"	"2923"
"51091"	"1"	"1"	"5.501566e-04"	"51091"
"23677"	"1"	"1"	"1.165159e-12"	"23677"
"7535"	"1"	"1"	"8.842509e-05"	"7535"
"55529"	"1"	"1"	"7.950333e-09"	"55529"
"3589"	"1"	"1"	"1.823772e-10"	"3589"
"11227"	"1"	"1"	"8.574541e-06"	"11227"
"25819"	"1"	"1"	"1.757626e-01"	"25819"
"79191"	"1"	"1"	"3.292884e-01"	"79191"
"119391"	"1"	"1"	"4.059205e-03"	"119391"
"54994"	"1"	"1"	"2.260378e-06"	"54994"
"4100"	"1"	"1"	"7.868426e-06"	"4100"
"57117"	"1"	"1"	"1.284947e-15"	"57117"
"10042"	"1"	"1"	"1.934526e-03"	"10042"
"2155"	"1"	"1"	"2.186866e-02"	"2155"
"604"	"1"	"1"	"4.617876e-02"	"604"
"2762"	"1"	"1"	"7.435358e-12"	"2762"
"9244"	"1"	"1"	"1.467249e-03"	"9244"
"378708"	"1"	"1"	"8.801470e-06"	"378708"
"8239"	"1"	"1"	"4.687903e-02"	"8239"
"10342"	"1"	"1"	"1.813032e-09"	"10342"
"7168"	"1"	"1"	"2.244359e-03"	"7168"
"80008"	"1"	"1"	"1.296816e-03"	"80008"
"83755"	"1"	"1"	"1.079882e-09"	"83755"
"200894"	"1"	"1"	"2.311735e-04"	"200894"
"55706"	"1"	"1"	"9.210370e-07"	"55706"
"146336"	"1"	"1"	"9.055617e-06"	"146336"
"55700"	"1"	"1"	"6.382556e-05"	"55700"
"5903"	"1"	"1"	"6.123492e-05"	"5903"
"8110"	"1"	"1"	"1.215199e-10"	"8110"
"375"	"1"	"1"	"3.540554e-09"	"375"
"200010"	"1"	"1"	"1.737219e-03"	"200010"
"729799"	"1"	"1"	"2.493820e-04"	"729799"
"84168"	"1"	"1"	"8.084927e-03"	"84168"
"168850"	"1"	"1"	"4.355772e-03"	"168850"
"4790"	"1"	"1"	"1.449835e-09"	"4790"
"160335"	"1"	"1"	"2.699307e-02"	"160335"
"8367"	"1"	"1"	"3.520492e-12"	"8367"
"8996"	"1"	"1"	"1.477527e-02"	"8996"
"112464"	"1"	"1"	"4.392011e-02"	"112464"
"83742"	"1"	"1"	"3.664959e-01"	"83742"
"9533"	"1"	"1"	"3.471157e-01"	"9533"
"389203"	"1"	"1"	"2.297434e-09"	"389203"
"51496"	"1"	"1"	"7.548406e-07"	"51496"
"3303"	"1"	"1"	"1.430388e-10"	"3303"
"9360"	"1"	"1"	"2.273409e-05"	"9360"
"57713"	"1"	"1"	"4.567723e-03"	"57713"
"9562"	"1"	"1"	"2.335989e-03"	"9562"
"26057"	"1"	"1"	"2.685949e-04"	"26057"
"5036"	"1"	"1"	"3.529646e-04"	"5036"
"90864"	"1"	"1"	"1.197769e-14"	"90864"
"4199"	"1"	"1"	"1.501023e-04"	"4199"
"830"	"1"	"1"	"3.692063e-05"	"830"
"100507117"	"1"	"1"	"3.237771e-12"	"100507117"
"9364"	"1"	"1"	"1.049063e-04"	"9364"
"11019"	"1"	"1"	"2.637805e-02"	"11019"
"51629"	"1"	"1"	"1.549425e-02"	"51629"
"951"	"1"	"1"	"8.912340e-13"	"951"
"89857"	"1"	"1"	"2.038484e-04"	"89857"
"145474"	"1"	"1"	"8.993729e-07"	"145474"
"11006"	"1"	"1"	"8.000653e-02"	"11006"
"412"	"1"	"1"	"9.101066e-06"	"412"
"8364"	"1"	"1"	"6.004532e-02"	"8364"
"57733"	"1"	"1"	"7.152006e-07"	"57733"
"10260"	"1"	"1"	"1.079587e-04"	"10260"
"79709"	"1"	"1"	"8.237553e-16"	"79709"
"55812"	"1"	"1"	"1.876505e-03"	"55812"
"3012"	"1"	"1"	"7.518207e-12"	"3012"
"26232"	"1"	"1"	"4.746671e-05"	"26232"
"79953"	"1"	"1"	"2.635639e-01"	"79953"
"5660"	"1"	"1"	"1.108959e-05"	"5660"
"28965"	"1"	"1"	"2.884854e-04"	"28965"
"7782"	"1"	"1"	"3.943990e-06"	"7782"
"2109"	"1"	"1"	"5.123927e-06"	"2109"
"338799"	"1"	"1"	"1.084961e-15"	"338799"
"10199"	"1"	"1"	"2.615191e-06"	"10199"
"9601"	"1"	"1"	"5.131874e-11"	"9601"
"4291"	"1"	"1"	"2.647250e-01"	"4291"
"7321"	"1"	"1"	"2.264686e-04"	"7321"
"84330"	"1"	"1"	"3.205893e-01"	"84330"
"4782"	"1"	"1"	"2.910480e-08"	"4782"
